ID_OBRA,PROYECTO,TRAMO,PK_INICIAL,PK_FINAL,ESTADO,MUNICIPIO,LOCALIDAD,LAT_INI,LON_INI,LAT_FIN,LON_FIN,ENTE_RESPONSABLE,TIPO_ACTIVO,TIPO_OBRA,DESCRIPCION,MONTO_MDP,CRITICIDAD,RIESGO,RESPONSABLE,FECHA,OBSERVACIONES,UTM_INI_ESTE,UTM_INI_NORTE,UTM_FIN_ESTE,UTM_FIN_NORTE,ZONA_UTM,OBS_COORDENADAS,ESTATUS
QI-T02-CMEM-00-V03-CTL-OI__EMT-0022-A00,Media Tension,Tramo II,52+990,52+990,Guanajuato,Celaya,Celaya,20.516495,-100.894773,20.516495,-100.894773,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",302423.97,2269783.6,302423.97,2269783.6,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0004-A00,Gasoducto,Tramo II,53+000,53+000,Guanajuato,Celaya,Celaya,20.516472,-100.894881,20.516472,-100.894881,GAS NATURAL DEL NOROESTE,Gasoducto,Proteccion por definir con Gas Natural del Noroeste,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,05/02/2026,Se realiza cala de exploracion en gasoducto,302412.67,2269781.18,302412.67,2269781.18,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EAT-0004-A00,Alta Tension,Tramo II,53+500,53+500,Guanajuato,Celaya,Celaya,20.516198,-100.899562,20.516198,-100.899562,CFE,Linea electrica Alta Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de alta tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,25/02/2026,Se entrega oficio a CFE para revision tecnica de la interferencia.,301924.07,2269756.51,301924.07,2269756.51,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLA-0014-A00,Telecomunicaciones,Tramo II,53+500,59+250,Guanajuato,Cortazar,Cortazar,20.516218,-100.899564,20.512449,-100.954457,Bestel,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Bestel y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,MEDIO,Ing. Luis Hernandez,29/01/2026,"Se reunen SE, Bestel y MEM, para identificacion de su Infraestructura",301923.89,2269758.73,296193.3,2269408.96,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EAT-0005-A00,Alta Tension,Tramo II,53+600,53+600,Guanajuato,Celaya,Celaya,20.51622,-100.89992,20.51622,-100.89992,CFE,Linea electrica Alta Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de alta tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,25/02/2026,Se entrega oficio a CFE para revision tecnica de la interferencia.,301886.76,2269759.38,301886.76,2269759.38,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0005-A00,Gasoducto,Tramo II,54+005,54+005,Guanajuato,Celaya,Celaya,20.515925,-100.904461,20.515925,-100.904461,GAS NATURAL DEL NOROESTE,Gasoducto,Proteccion por definir con Gas Natural del Noroeste,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,17/02/2026,Se realiza cala de exploracion en gasoducto,301412.74,2269732.24,301412.74,2269732.24,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EMT-0023-A00,Media Tension,Tramo II,54+480,54+480,Guanajuato,Celaya,Celaya,20.51563,-100.908946,20.51563,-100.908946,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",300944.55,2269705.03,300944.55,2269705.03,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0006-A00,Gasoducto,Tramo II,54+485,54+485,Guanajuato,Celaya,Celaya,20.515611,-100.909093,20.515611,-100.909093,ARSEAL Energy and Gas,Gasoducto,Proteccion por definir con Arseal Energy and Gas,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,02/03/2026,Se envia carta de responsabilidad civil solicitada por el operador para programacion de cala de exploracion,300929.2,2269703.11,300929.2,2269703.11,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLS-0015-A00,Telecomunicaciones,Tramo II,54+490,54+490,Guanajuato,Celaya,Celaya,20.51621,-100.90017,20.512433,-100.9547,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",301860.67,2269758.58,296167.93,2269407.49,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLS-0016-A00,Telecomunicaciones,Tramo II,54+495,54+495,Guanajuato,Celaya,Celaya,20.51563,-100.908946,20.51563,-100.908946,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",300944.55,2269705.03,300944.55,2269705.03,14,,CONCLUIDA
